ID,Name,Age,Unit,TenureYears,FitnessScore,TrainingScore,PhysicalTestPass,DisciplinaryRecord,FitnessTrend,RetentionStatus
1,Agniveer-1,20,Signals Corps,3,66,80,1,0,0,0
2,Agniveer-2,21,Gorkha Rifles,1,58,74,1,0,1,0
3,Agniveer-3,18,Gorkha Rifles,1,82,91,0,0,0,0
4,Agniveer-4,20,Signals Corps,4,69,64,1,0,0,0
5,Agniveer-5,20,Signals Corps,3,62,65,1,0,1,0
6,Agniveer-6,21,Artillery Regiment,1,77,50,1,0,0,0
7,Agniveer-7,18,Signals Corps,4,97,77,1,0,0,0
8,Agniveer-8,18,Artillery Regiment,3,78,41,0,0,0,0
9,Agniveer-9,20,Maratha Light Infantry,4,62,46,0,0,0,0
10,Agniveer-10,19,Gorkha Rifles,2,95,57,1,1,1,0
11,Agniveer-11,20,Signals Corps,1,84,66,0,0,0,0
12,Agniveer-12,20,Gorkha Rifles,2,55,73,1,0,0,0
13,Agniveer-13,20,Gorkha Rifles,3,67,66,1,0,1,0
14,Agniveer-14,20,Gorkha Rifles,2,54,56,1,0,0,0
15,Agniveer-15,21,Maratha Light Infantry,2,96,82,1,0,1,1
16,Agniveer-16,18,Para SF,3,74,98,1,0,1,1
17,Agniveer-17,21,Signals Corps,4,51,83,1,0,1,0
18,Agniveer-18,21,Para SF,2,59,98,1,0,1,1
19,Agniveer-19,21,Para SF,4,79,90,1,0,0,0
20,Agniveer-20,20,Para SF,2,99,93,1,0,1,1
21,Agniveer-21,19,Gorkha Rifles,4,94,63,1,0,0,0
22,Agniveer-22,18,Artillery Regiment,3,54,64,1,0,1,0
23,Agniveer-23,19,Gorkha Rifles,2,82,46,1,0,0,0
24,Agniveer-24,21,Gorkha Rifles,3,50,91,1,0,1,0
25,Agniveer-25,21,Para SF,2,67,45,1,0,1,0
26,Agniveer-26,19,Gorkha Rifles,3,81,92,1,0,0,0
27,Agniveer-27,19,Para SF,3,96,63,1,0,0,0
28,Agniveer-28,19,Artillery Regiment,2,98,72,0,0,1,0
29,Agniveer-29,21,Signals Corps,2,60,88,1,0,1,1
30,Agniveer-30,21,Para SF,2,70,68,1,0,0,0
31,Agniveer-31,18,Artillery Regiment,1,75,82,1,0,1,1
32,Agniveer-32,18,Signals Corps,4,74,61,1,0,1,0
33,Agniveer-33,21,Maratha Light Infantry,1,71,65,1,1,1,0
34,Agniveer-34,19,Para SF,1,76,67,1,0,0,0
35,Agniveer-35,19,Para SF,3,98,89,0,0,1,0
36,Agniveer-36,18,Maratha Light Infantry,2,62,60,1,0,0,0
37,Agniveer-37,21,Maratha Light Infantry,4,82,88,0,0,1,0
38,Agniveer-38,18,Para SF,3,83,46,1,1,1,0
39,Agniveer-39,18,Maratha Light Infantry,1,90,56,1,0,0,0
40,Agniveer-40,20,Gorkha Rifles,2,84,59,1,0,1,1
41,Agniveer-41,20,Signals Corps,3,50,80,1,0,0,0
42,Agniveer-42,20,Signals Corps,2,70,88,1,0,1,1
43,Agniveer-43,19,Signals Corps,3,97,59,0,0,1,0
44,Agniveer-44,21,Gorkha Rifles,2,55,93,1,0,1,1
45,Agniveer-45,21,Maratha Light Infantry,1,77,61,0,0,0,0
46,Agniveer-46,21,Artillery Regiment,4,66,67,1,0,1,0
47,Agniveer-47,21,Maratha Light Infantry,1,54,79,1,1,0,0
48,Agniveer-48,20,Para SF,4,80,88,0,0,0,0
49,Agniveer-49,19,Signals Corps,2,54,46,1,0,1,0
50,Agniveer-50,19,Maratha Light Infantry,3,87,40,1,0,0,0
51,Agniveer-51,20,Artillery Regiment,1,52,71,0,1,0,0
52,Agniveer-52,19,Para SF,4,72,52,1,0,1,0
53,Agniveer-53,20,Gorkha Rifles,1,86,69,1,0,0,0
54,Agniveer-54,21,Gorkha Rifles,4,86,62,1,0,0,0
55,Agniveer-55,20,Artillery Regiment,1,59,90,1,0,1,1
56,Agniveer-56,21,Para SF,4,59,98,1,0,0,0
57,Agniveer-57,21,Signals Corps,4,68,95,1,0,1,1
